----- Insertion Sort, n = 1000 -----
Before			After
505460			695
278552			726
635126			727
571910			746
107769			754
285689			769
578242			796
522552			796
540333			821
386283			835
268409			843
160133			848
370664			848
751025			850
487615			851
353189			856
61259			877
594149			878
871044			881
647943			885
990674			888
263509			896
810513			907
293100			909
147306			914
776707			915
121897			916
737654			942
755128			945
441896			950
956389			954
41696			955
792011			962
345635			969
91801			988
911144			991
603531			994
549211			1003
595637			1004
885545			1051
358726			1071
120578			1118
559461			1119
864919			1120
703177			1134
302847			1141
965197			1144
66897			1149
347188			1187
192164			1205
22.593750
----- Selection Sort, n = 100000 -----
Before			After
4007			12
348263			25
259846			34
234690			34
438890			51
440870			52
705068			66
82955			73
226931			78
40442			80
712132			81
810925			82
225972			105
923866			117
417294			130
461510			153
603407			165
465949			172
209500			201
82856			214
573360			215
473487			216
908448			235
293752			274
98517			292
789060			299
736691			345
566400			348
500189			362
681509			377
123564			397
752933			398
553103			400
8831			419
427273			428
177504			431
314351			457
300881			463
911168			472
4773			485
228533			493
969296			533
960508			544
269454			561
720142			568
442845			573
901223			580
871311			595
138237			596
349705			640
505460			695
278552			726
635126			727
571910			746
107769			754
285689			769
578242			796
522552			796
540333			821
386283			835
268409			843
160133			848
370664			848
751025			850
487615			851
353189			856
61259			877
594149			878
871044			881
647943			885
990674			888
263509			896
810513			907
293100			909
147306			914
776707			915
121897			916
737654			942
755128			945
441896			950
956389			954
41696			955
792011			962
345635			969
91801			988
911144			991
603531			994
549211			1003
595637			1004
885545			1051
358726			1071
120578			1118
559461			1119
864919			1120
703177			1134
302847			1141
965197			1144
66897			1149
347188			1187
192164			1205
20.625000
----- Bubble Sort, n = 100000 -----
Before			After
4007			34
348263			52
259846			80
234690			117
438890			130
440870			153
705068			214
82955			216
226931			235
40442			292
712132			299
810925			362
225972			377
923866			397
417294			400
461510			419
603407			431
465949			457
209500			472
82856			544
573360			568
473487			595
908448			596
293752			640
98517			746
789060			796
736691			835
566400			848
500189			851
681509			888
123564			907
752933			914
553103			916
8831			942
427273			954
177504			955
314351			991
300881			994
911168			1003
4773			1004
228533			1134
969296			1187
960508			1205
269454			1233
720142			1270
442845			1271
901223			1293
871311			1293
138237			1295
349705			1339
505460			1344
278552			1348
635126			1372
571910			1388
107769			1400
285689			1411
578242			1430
522552			1438
540333			1440
386283			1458
268409			1477
160133			1512
370664			1541
751025			1542
487615			1556
353189			1587
61259			1592
594149			1594
871044			1600
647943			1609
990674			1610
263509			1628
810513			1645
293100			1695
147306			1737
776707			1798
121897			1802
737654			1857
755128			1870
441896			1901
956389			1903
41696			1910
792011			1927
345635			1929
91801			1953
911144			1954
603531			1955
549211			1958
595637			1958
885545			1966
358726			1977
120578			2002
559461			2004
864919			2039
703177			2049
302847			2082
965197			2131
66897			2132
347188			2173
192164			2190
37.218750
----- Merge Sort, n = 100000 -----
Before			After
4007			12
348263			25
259846			34
234690			34
438890			51
440870			52
705068			66
82955			73
226931			78
40442			80
712132			81
810925			82
225972			105
923866			117
417294			130
461510			153
603407			165
465949			172
209500			201
82856			214
573360			215
473487			216
908448			235
293752			274
98517			292
789060			299
736691			345
566400			348
500189			362
681509			377
123564			397
752933			398
553103			400
8831			419
427273			428
177504			431
314351			457
300881			463
911168			472
4773			485
228533			493
969296			533
960508			544
269454			561
720142			568
442845			573
901223			580
871311			595
138237			596
349705			640
505460			695
278552			726
635126			727
571910			746
107769			754
285689			769
578242			796
522552			796
540333			821
386283			835
268409			843
160133			848
370664			848
751025			850
487615			851
353189			856
61259			877
594149			878
871044			881
647943			885
990674			888
263509			896
810513			907
293100			909
147306			914
776707			915
121897			916
737654			942
755128			945
441896			950
956389			954
41696			955
792011			962
345635			969
91801			988
911144			991
603531			994
549211			1003
595637			1004
885545			1051
358726			1071
120578			1118
559461			1119
864919			1120
703177			1134
302847			1141
965197			1144
66897			1149
347188			1187
192164			1205
0.023438
----- Quick Sort, n = 100000 -----
Before			After
4007			12
348263			25
259846			34
234690			34
438890			51
440870			52
705068			66
82955			73
226931			78
40442			80
712132			81
810925			82
225972			105
923866			117
417294			130
461510			153
603407			165
465949			172
209500			201
82856			214
573360			215
473487			216
908448			235
293752			274
98517			292
789060			299
736691			345
566400			348
500189			362
681509			377
123564			397
752933			398
553103			400
8831			419
427273			428
177504			431
314351			457
300881			463
911168			472
4773			485
228533			493
969296			533
960508			544
269454			561
720142			568
442845			573
901223			580
871311			595
138237			596
349705			640
505460			695
278552			726
635126			727
571910			746
107769			754
285689			769
578242			796
522552			796
540333			821
386283			835
268409			843
160133			848
370664			848
751025			850
487615			851
353189			856
61259			877
594149			878
871044			881
647943			885
990674			888
263509			896
810513			907
293100			909
147306			914
776707			915
121897			916
737654			942
755128			945
441896			950
956389			954
41696			955
792011			962
345635			969
91801			988
911144			991
603531			994
549211			1003
595637			1004
885545			1051
358726			1071
120578			1118
559461			1119
864919			1120
703177			1134
302847			1141
965197			1144
66897			1149
347188			1187
192164			1205
0.023438
----- Merge Sort, n = 1000000 -----
Before			After
4007			0
348263			3
259846			3
234690			4
438890			4
440870			4
705068			6
82955			7
226931			8
40442			9
712132			10
810925			11
225972			12
923866			13
417294			14
461510			16
603407			17
465949			17
209500			18
82856			20
573360			24
473487			24
908448			25
293752			25
98517			26
789060			26
736691			27
566400			28
500189			29
681509			29
123564			30
752933			30
553103			30
8831			31
427273			34
177504			34
314351			35
300881			35
911168			37
4773			37
228533			38
969296			38
960508			41
269454			41
720142			42
442845			42
901223			43
871311			43
138237			45
349705			47
505460			47
278552			48
635126			49
571910			50
107769			51
285689			51
578242			52
522552			52
540333			54
386283			54
268409			56
160133			56
370664			56
751025			57
487615			58
353189			60
61259			62
594149			63
871044			64
647943			64
990674			66
263509			66
810513			68
293100			69
147306			72
776707			73
121897			73
737654			73
755128			78
441896			80
956389			81
41696			81
792011			82
345635			82
91801			82
911144			83
603531			83
549211			83
595637			85
885545			87
358726			91
120578			91
559461			93
864919			93
703177			96
302847			97
965197			98
66897			98
347188			100
192164			100
0.257812
----- Quick Sort, n = 1000000 -----
Before			After
4007			0
348263			3
259846			3
234690			4
438890			4
440870			4
705068			6
82955			7
226931			8
40442			9
712132			10
810925			11
225972			12
923866			13
417294			14
461510			16
603407			17
465949			17
209500			18
82856			20
573360			24
473487			24
908448			25
293752			25
98517			26
789060			26
736691			27
566400			28
500189			29
681509			29
123564			30
752933			30
553103			30
8831			31
427273			34
177504			34
314351			35
300881			35
911168			37
4773			37
228533			38
969296			38
960508			41
269454			41
720142			42
442845			42
901223			43
871311			43
138237			45
349705			47
505460			47
278552			48
635126			49
571910			50
107769			51
285689			51
578242			52
522552			52
540333			54
386283			54
268409			56
160133			56
370664			56
751025			57
487615			58
353189			60
61259			62
594149			63
871044			64
647943			64
990674			66
263509			66
810513			68
293100			69
147306			72
776707			73
121897			73
737654			73
755128			78
441896			80
956389			81
41696			81
792011			82
345635			82
91801			82
911144			83
603531			83
549211			83
595637			85
885545			87
358726			91
120578			91
559461			93
864919			93
703177			96
302847			97
965197			98
66897			98
347188			100
192164			100
0.242188
---------- Execute Time ----------
		|	1000    	|	10000   	|	100000  	|	1000000 
Insertion Sort	|	0.002266	|	0.226562	|	22.593750	|	X	
Selection Sort	|	0.002109	|	0.207031	|	20.625000	|	X	
Bubble Sort	|	0.003828	|	0.370312	|	37.218750	|	X	
Merge Sort	|	0.000078	|	0.002344	|	0.023438	|	0.257812	
Quick Sort	|	0.000156	|	0.001563	|	0.023438	|	0.242188	
